gid,token_total,simscore_percentage,adj_token,_simscore_pct,std,cv,mean
FOMC202409,16000,49.0,15991,49.0,0.09647353449077554,0.2473680371558347,0.39000000000000007
FOMC202103,12000,40.0,11824,40.0,0.09009026671974874,0.4829237957250856,0.18655172413793106
FOMC202011,17000,98.0,16412,98.0,0.0827334731907642,0.9558847500128134,0.08655172413793104
FOMC202411,12000,18.0,11748,18.0,0.07547550413304922,0.2481620884193229,0.30413793103448267
FOMC202109,19000,100.0,14759,100.0,0.05080388255594863,0.1699322484570369,0.2989655172413794
FOMC201711,15000,20.0,14986,20.0,0.07223047403492756,0.1694727950657686,0.42620689655172406
FOMC201803,18000,21.5,17765,21.5,0.07572962015920935,0.1554252643041098,0.4872413793103448
FOMC202303,13000,74.0,12895,74.0,0.03915360680842028,0.2697041799154841,0.14517241379310344
FOMC202406,16000,53.0,15908,53.0,0.04579349664499719,0.1873076731600731,0.2444827586206897
FOMC201906,11000,26.0,10959,26.0,0.05529811726812238,0.3864205785001323,0.14310344827586208
FOMC202003,20000,20.0,19807,20.0,0.0653071560438967,0.701447231582594,0.09310344827586209
FOMC202307,14000,27.5,13906,27.5,0.06350012606170334,1.860104702817573,0.03413793103448275
FOMC202206,17000,46.5,16992,46.5,0.07268597685611093,0.3678696908948024,0.19758620689655165
FOMC201901,12000,14.5,11976,14.5,0.103143928327066,0.2272928511766651,0.45379310344827606
FOMC201707,15000,16.5,14927,16.5,0.05131521442542256,0.1591594885922197,0.3224137931034483
FOMC202201,11000,54.5,10872,54.5,0.07002110871033557,0.2446520665782809,0.28620689655172415
FOMC202501,18000,100.0,15751,100.0,0.07154694624679225,0.2777592290705456,0.25758620689655165
FOMC202007,14000,63.5,13873,63.5,0.04103344784885291,0.1719609808694703,0.23862068965517244
FOMC202007,20000,95.0,19900,95.0,0.03996919996463286,0.1682303046406898,0.23758620689655174
FOMC202503,14000,72.5,13909,72.5,0.07106855082422997,0.276642681060761,0.2568965517241379
FOMC202112,17000,100.0,15745,100.0,0.06863015752690277,0.2506643033098463,0.27379310344827595
FOMC201707,11000,11.5,10523,11.5,0.05715978813213311,0.1821575665749297,0.3137931034482758
FOMC201812,15000,35.0,14893,35.0,0.1257088276916379,0.221345233943989,0.5679310344827587
FOMC202206,11000,29.0,10939,29.0,0.06394270834691722,0.325894295616977,0.19620689655172413
FOMC202309,18000,87.5,17953,87.5,0.03706936647738241,0.4026260778442283,0.0920689655172414
FOMC202003,13000,12.0,12746,12.0,0.05082084828778102,0.6729701371441321,0.07551724137931036
FOMC201905,16000,37.5,15943,37.5,0.05920033617265754,0.2442119130877765,0.24241379310344824
FOMC202405,12000,40.5,11846,40.5,0.048886618596836,0.4633045553294916,0.10551724137931032
FOMC202303,19000,100.0,17090,100.0,0.03991678536273408,0.2324471436785719,0.17172413793103453
FOMC201803,15000,18.0,14913,18.0,0.06033976051914185,0.1315678988763244,0.4586206896551722
FOMC201711,18000,24.5,17784,24.5,0.06717010242733389,0.1669179923215666,0.4024137931034484
FOMC202109,13000,87.0,12880,87.0,0.06077293602990217,0.2108152087161678,0.28827586206896555
FOMC202411,16000,25.5,15844,25.5,0.06711324155573344,0.1948232237353623,0.3444827586206897
FOMC202009,10000,30.0,9995,30.0,0.0447929005634453,0.3374010691791983,0.1327586206896552
FOMC202103,16000,55.5,15998,55.5,0.1369369182387262,0.6859094294605245,0.19964285714285723
FOMC202409,11000,32.5,10945,32.5,0.08385273274126098,0.2055561495770556,0.40793103448275875
FOMC202104,19000,67.0,18941,67.0,0.04638933544846006,0.1465458309374011,0.316551724137931
FOMC201712,13000,17.0,12936,17.0,0.08657693978458152,0.1658342968132671,0.5220689655172414
FOMC201808,19000,85.0,18916,85.0,0.03434108828834034,0.0479024319558379,0.716896551724138
FOMC202302,15000,93.5,14899,93.5,0.0525577327415858,0.4838648411130121,0.10862068965517242
FOMC202401,17000,56.5,16913,56.5,0.06092472946266173,0.2621390436820757,0.23241379310344829
FOMC201907,12000,16.5,11949,16.5,0.06417149129922493,0.2740755887595763,0.23413793103448274
FOMC201910,18000,22.0,17899,22.0,0.04710328238905077,0.2857730521511448,0.16482758620689658
FOMC202309,14000,66.5,13908,66.5,,,
FOMC202211,15000,65.0,14752,65.0,0.07393913087054532,0.3486560642676121,0.2120689655172414
FOMC201812,11000,25.0,10916,25.0,0.09882810872364009,0.1710032907509286,0.5779310344827585
FOMC201703,17000,24.0,16953,24.0,0.05296387838700169,0.1106594000881159,0.4786206896551725
FOMC202203,12000,25.5,11875,25.5,0.05206333770519257,5.032789311501948,0.010344827586206898
FOMC202506,20000,100.0,17001,100.0,0.04988657084565861,0.2205351455067225,0.22620689655172413
FOMC202004,14000,25.5,13905,25.5,0.07274863938260086,0.1348919783948481,0.5393103448275863
FOMC202003,17000,16.0,16959,16.0,0.07017220198222715,0.7980368068567009,0.08793103448275863
FOMC202505,11000,64.5,10927,64.5,0.0432905771972848,0.4810064133031644,0.09000000000000001
FOMC202205,20000,34.0,19990,34.0,0.05087413232578496,0.3415161660758713,0.14896551724137927
FOMC201705,14000,11.5,13772,11.5,0.05212716546399147,0.1473379920522176,0.3537931034482759
